B01003_001E,state,county,tract
2308,36,001,000100
5506,36,001,000200
6471,36,001,000300
2211,36,001,000401
4672,36,001,000403
5129,36,001,000404
3247,36,001,000501
3914,36,001,000502
3694,36,001,000600
4237,36,001,000700
2236,36,001,000800
1454,36,001,001100
3742,36,001,001400
4198,36,001,001500
3851,36,001,001600
4070,36,001,001700
6749,36,001,001801
4151,36,001,001802
2709,36,001,001901
2772,36,001,001902
5247,36,001,002000
2877,36,001,002100
2398,36,001,002200
1936,36,001,002300
2394,36,001,002500
5778,36,001,002600
2580,36,001,012700
3574,36,001,012800
3015,36,001,012900
6947,36,001,013000
2565,36,001,013100
3857,36,001,013200
4189,36,001,013300
2267,36,001,013400
4003,36,001,013503
2662,36,001,013505
6290,36,001,013506
3419,36,001,013507
6601,36,001,013508
8595,36,001,013601
4099,36,001,013602
3486,36,001,013703
6517,36,001,013705
2188,36,001,013706
5911,36,001,013707
7034,36,001,013801
4319,36,001,013802
2580,36,001,013901
5259,36,001,013902
4155,36,001,014001
4414,36,001,014002
5115,36,001,014100
5886,36,001,014201
5866,36,001,014202
5675,36,001,014203
2980,36,001,014301
7865,36,001,014302
4280,36,001,014401
3316,36,001,014402
2422,36,001,014501
3453,36,001,014502
2795,36,001,014503
3692,36,001,014606
8572,36,001,014607
4017,36,001,014608
4612,36,001,014609
1748,36,001,014611
1618,36,001,014612
2676,36,001,014613
5740,36,001,014614
2472,36,001,014615
2682,36,001,014700
2808,36,001,014801
1873,36,001,014802
3392,36,001,014803
0,36,003,940200
2617,36,003,950100
4994,36,003,950300
3422,36,003,950400
4030,36,003,950500
3692,36,003,950600
4081,36,003,950700
6288,36,003,950800
4064,36,003,950900
3338,36,003,951000
3584,36,003,951100
5126,36,003,951200
3869,36,003,951300
11517,36,005,000100
4286,36,005,000200
4893,36,005,000400
5140,36,005,001600
2142,36,005,001900
8802,36,005,002000
5036,36,005,002300
0,36,005,002400
4934,36,005,002500
3063,36,005,002701
4764,36,005,002702
5755,36,005,002800
1227,36,005,003100
3498,36,005,003300
3729,36,005,003500
201,36,005,003700
1694,36,005,003800
6952,36,005,003900
1391,36,005,004001
6116,36,005,004100
6973,36,005,004200
4647,36,005,004300
4401,36,005,004400
1557,36,005,004600
3954,36,005,004800
4729,36,005,005001
5306,36,005,005002
5361,36,005,005100
1707,36,005,005200
3640,36,005,005300
6323,36,005,005400
2267,36,005,005600
2397,36,005,005902
1317,36,005,006000
3266,36,005,006100
6578,36,005,006200
5537,36,005,006300
3722,36,005,006400
5228,36,005,006500
7535,36,005,006700
2671,36,005,006800
5582,36,005,006900
4313,36,005,007000
2221,36,005,007100
5777,36,005,007200
3526,36,005,007300
3773,36,005,007400
4277,36,005,007500
5589,36,005,007600
1748,36,005,007700
6102,36,005,007800
5930,36,005,007900
6159,36,005,008300
2508,36,005,008400
5541,36,005,008500
3835,36,005,008600
6294,36,005,008700
3057,36,005,008900
3747,36,005,009000
5419,36,005,009200
6667,36,005,009300
2302,36,005,009600
5145,36,005,009800
113,36,005,011000
4663,36,005,011502
1336,36,005,011700
4690,36,005,011800
5310,36,005,011900
2775,36,005,012101
1410,36,005,012102
3024,36,005,012300
3180,36,005,012500
2376,36,005,012701
2952,36,005,012901
1134,36,005,013000
4769,36,005,013100
6135,36,005,013200
6370,36,005,013300
3256,36,005,013500
3182,36,005,013800
2247,36,005,014100
565,36,005,014300
5184,36,005,014400
5728,36,005,014500
5544,36,005,014701
5087,36,005,014702
3768,36,005,014900
5309,36,005,015100
2136,36,005,015200
3779,36,005,015300
3494,36,005,015500
3102,36,005,015700
1261,36,005,015800
2942,36,005,015900
3572,36,005,016000
4253,36,005,016100
1605,36,005,016200
416,36,005,016300
1040,36,005,016400
1219,36,005,016500
2416,36,005,016600
1910,36,005,016700
2174,36,005,016900
0,36,005,017100
5437,36,005,017300
6529,36,005,017500
3867,36,005,017701
4269,36,005,017702
5244,36,005,017901
3476,36,005,017902
3088,36,005,018101
5364,36,005,018102
4276,36,005,018301
3638,36,005,018302
3828,36,005,018400
6033,36,005,018500
8051,36,005,018900
5311,36,005,019300
1842,36,005,019400
6680,36,005,019500
8092,36,005,019700
7958,36,005,019900
4836,36,005,020000
4051,36,005,020100
2029,36,005,020200
2916,36,005,020400
6995,36,005,020501
1988,36,005,020502
2957,36,005,020601
4199,36,005,020900
8575,36,005,021001
7148,36,005,021002
4700,36,005,021100
5721,36,005,021200
1331,36,005,021301
5104,36,005,021302
3283,36,005,021501
6000,36,005,021502
3684,36,005,021601
5636,36,005,021602
5663,36,005,021700
6158,36,005,021800
1346,36,005,021900
1081,36,005,022000
3731,36,005,022101
5854,36,005,022102
2894,36,005,022200
5618,36,005,022300
2704,36,005,022401
3302,36,005,022403
4360,36,005,022404
8574,36,005,022500
5293,36,005,022701
1662,36,005,022702
1504,36,005,022703
6204,36,005,022800
5619,36,005,022901
3222,36,005,022902
2979,36,005,023000
1227,36,005,023100
2512,36,005,023200
4397,36,005,023301
2839,36,005,023302
3590,36,005,023501
4682,36,005,023502
1760,36,005,023600
1105,36,005,023702
5717,36,005,023703
3865,36,005,023704
2380,36,005,023800
7639,36,005,023900
4162,36,005,024000
5818,36,005,024100
5541,36,005,024300
2256,36,005,024400
5092,36,005,024501
4375,36,005,024502
2047,36,005,024600
2199,36,005,024700
3656,36,005,024800
0,36,005,024900
2487,36,005,025000
7658,36,005,025100
2565,36,005,025200
5913,36,005,025300
1707,36,005,025400
6828,36,005,025500
1542,36,005,025600
2034,36,005,025700
3589,36,005,026100
6616,36,005,026300
5694,36,005,026400
6847,36,005,026500
3148,36,005,026601
4824,36,005,026602
4008,36,005,026701
6442,36,005,026702
3496,36,005,026900
7891,36,005,027300
4708,36,005,027401
3298,36,005,027402
0,36,005,027600
5312,36,005,027700
7688,36,005,027900
4106,36,005,028100
2708,36,005,028300
831,36,005,028400
3013,36,005,028500
1219,36,005,028600
3409,36,005,028700
